Run,RT,Male,Female,None,Pct
326,19,14,3,2,0.8235
327,24,10,8,6,0.5556
328,22,14,4,4,0.7778
329,28,19,7,2,0.7308
330,21,11,4,6,0.7333
331,26,19,4,3,0.8261
332,22,6,8,8,0.4286
333,24,15,2,7,0.8824
334,17,10,6,1,0.6250
335,31,16,6,9,0.7273
336,29,20,4,5,0.8333
337,26,13,6,7,0.6842
338,29,12,12,5,0.5000
339,19,7,9,3,0.4375
340,23,15,8,0,0.6522
341,20,13,4,3,0.7647
342,26,14,6,6,0.7000
343,21,14,3,4,0.8235
344,25,18,2,5,0.9000
345,17,9,3,5,0.7500
346,19,11,5,3,0.6875
347,17,8,5,4,0.6154
348,22,11,4,7,0.7333
349,23,10,8,5,0.5556
350,19,9,5,5,0.6429
351,20,11,4,5,0.7333
352,22,17,3,2,0.8500
353,23,11,7,5,0.6111
354,26,17,4,5,0.8095
355,18,10,5,3,0.6667
356,23,14,4,5,0.7778
357,20,15,1,4,0.9375
358,26,16,5,5,0.7619
359,26,15,6,5,0.7143
360,30,16,6,8,0.7273
361,26,14,7,5,0.6667
362,21,11,5,5,0.6875
363,34,21,5,8,0.8077
364,20,14,5,1,0.7368
365,22,10,5,7,0.6667
366,25,10,9,6,0.5263
367,25,16,4,5,0.8000
368,25,21,3,1,0.8750
369,18,10,7,1,0.5882
370,29,14,11,4,0.5600
371,27,19,6,2,0.7600
372,27,16,4,7,0.8000
373,33,22,3,8,0.8800
374,21,16,1,4,0.9412
375,25,15,3,7,0.8333
376,21,11,6,4,0.6471
377,26,14,6,6,0.7000
378,26,13,11,2,0.5417
379,28,16,9,3,0.6400
380,32,20,6,6,0.7692
381,31,16,8,7,0.6667
382,20,13,4,3,0.7647
383,22,9,4,9,0.6923
384,22,12,6,4,0.6667
385,35,21,11,3,0.6562
386,21,10,4,7,0.7143
387,27,10,10,7,0.5000
388,16,12,4,0,0.7500
389,23,12,9,2,0.5714
390,30,15,9,6,0.6250
391,15,9,3,3,0.7500
392,23,11,10,2,0.5238
393,17,11,2,4,0.8462
394,21,12,5,4,0.7059
395,32,19,9,4,0.6786
396,21,12,6,3,0.6667
397,29,13,9,7,0.5909
398,23,11,7,5,0.6111
399,28,16,7,5,0.6957
400,32,22,4,6,0.8462
401,25,12,9,4,0.5714
402,19,7,5,7,0.5833
403,30,17,7,6,0.7083
404,31,15,11,5,0.5769
405,25,10,11,4,0.4762
406,30,11,9,10,0.5500
407,28,14,12,2,0.5385
408,30,9,10,11,0.4737
409,28,15,5,8,0.7500
410,25,13,9,3,0.5909
411,26,18,3,5,0.8571
412,22,18,1,3,0.9474
413,24,14,4,6,0.7778
414,20,10,5,5,0.6667
415,25,17,4,4,0.8095
416,21,13,4,4,0.7647
417,27,15,6,6,0.7143
418,30,12,7,11,0.6316
419,23,10,7,6,0.5882
420,23,13,6,4,0.6842
421,28,14,7,7,0.6667
422,27,15,8,4,0.6522
423,27,13,8,6,0.6190
424,27,18,7,2,0.7200
425,29,18,5,6,0.7826
426,32,14,10,8,0.5833
427,24,16,5,3,0.7619
428,22,16,1,5,0.9412
429,18,13,2,3,0.8667
430,24,13,5,6,0.7222
431,30,11,10,9,0.5238
432,27,19,6,2,0.7600
433,26,16,7,3,0.6957
434,27,17,7,3,0.7083
435,21,9,5,7,0.6429
436,31,19,7,5,0.7308
437,29,22,4,3,0.8462
438,23,14,6,3,0.7000
439,17,9,4,4,0.6923
440,22,13,5,4,0.7222
441,19,13,3,3,0.8125
442,19,10,4,5,0.7143
443,16,8,3,5,0.7273
444,23,14,6,3,0.7000
445,28,18,8,2,0.6923
446,19,9,6,4,0.6000
447,27,20,5,2,0.8000
448,26,17,2,7,0.8947
449,25,17,4,4,0.8095
450,24,12,8,4,0.6000
451,27,13,8,6,0.6190
452,20,11,4,5,0.7333
453,25,14,6,5,0.7000
454,28,18,7,3,0.7200
455,31,15,9,7,0.6250
456,28,19,4,5,0.8261
457,35,23,8,4,0.7419
458,23,12,3,8,0.8000
459,27,16,4,7,0.8000
460,29,18,7,4,0.7200
461,27,15,7,5,0.6818
462,20,7,4,9,0.6364
463,16,7,7,2,0.5000
464,18,13,2,3,0.8667
465,18,7,7,4,0.5000
466,29,17,5,7,0.7727
467,25,14,5,6,0.7368
468,25,16,3,6,0.8421
469,21,10,8,3,0.5556
470,24,15,5,4,0.7500
471,19,11,5,3,0.6875
472,26,12,8,6,0.6000
473,18,12,5,1,0.7059
474,22,13,5,4,0.7222
475,19,9,8,2,0.5294
476,35,23,9,3,0.7188
477,23,15,4,4,0.7895
478,24,14,3,7,0.8235
479,24,16,5,3,0.7619
480,26,15,7,4,0.6818
481,24,14,8,2,0.6364
482,21,15,4,2,0.7895
483,27,22,2,3,0.9167
484,27,12,11,4,0.5217
485,18,9,6,3,0.6000
486,23,14,6,3,0.7000
487,22,14,7,1,0.6667
488,25,16,4,5,0.8000
489,28,13,6,9,0.6842
490,17,9,6,2,0.6000
491,22,12,6,4,0.6667
492,26,18,6,2,0.7500
493,29,15,6,8,0.7143
494,29,16,10,3,0.6154
495,27,11,9,7,0.5500
496,29,16,5,8,0.7619
497,29,15,11,3,0.5769
498,32,16,13,3,0.5517
499,28,17,10,1,0.6296
500,29,18,5,6,0.7826
501,21,13,2,6,0.8667
502,20,12,2,6,0.8571
503,28,16,7,5,0.6957
504,17,8,5,4,0.6154
505,23,12,4,7,0.7500
506,19,11,3,5,0.7857
507,23,15,6,2,0.7143
508,27,18,5,4,0.7826
509,37,20,7,10,0.7407
510,22,14,4,4,0.7778
511,23,12,6,5,0.6667
512,32,18,8,6,0.6923
513,29,17,7,5,0.7083
514,38,22,11,5,0.6667
515,28,15,8,5,0.6522
516,21,11,6,4,0.6471
517,14,10,2,2,0.8333
518,21,12,5,4,0.7059
519,27,15,9,3,0.6250
520,23,9,9,5,0.5000
521,27,15,6,6,0.7143
