Num,RT,Male,Female,None,Pct
22100,6173,3415,1851,907,0.6485
22200,6192,3429,1853,910,0.6492
22300,6222,3448,1859,915,0.6497
22400,6250,3467,1864,919,0.6503
22500,6273,3478,1869,926,0.6505
22600,6311,3498,1880,933,0.6504
22700,6329,3505,1884,940,0.6504
22800,6361,3524,1888,949,0.6511
22900,6382,3535,1891,956,0.6515
23000,6410,3548,1902,960,0.6510
23100,6439,3564,1907,968,0.6514
23200,6468,3581,1912,975,0.6519
23300,6502,3598,1924,980,0.6516
23400,6529,3614,1933,982,0.6515
23500,6554,3630,1935,989,0.6523
23600,6597,3657,1946,994,0.6527
23700,6622,3669,1956,997,0.6523
23800,6641,3679,1961,1001,0.6523
23900,6661,3693,1965,1003,0.6527
24000,6677,3698,1971,1008,0.6523
24100,6695,3710,1972,1013,0.6529
24200,6706,3718,1973,1015,0.6533
24300,6722,3728,1974,1020,0.6538
24400,6738,3738,1975,1025,0.6543
24500,6756,3745,1983,1028,0.6538
24600,6775,3755,1988,1032,0.6538
24700,6798,3767,1997,1034,0.6535
24800,6829,3789,2004,1036,0.6541
24900,6857,3801,2012,1044,0.6539
25000,6887,3817,2020,1050,0.6539
25100,6906,3826,2022,1058,0.6542
25200,6927,3841,2026,1060,0.6547
25300,6956,3862,2031,1063,0.6554
25400,6980,3875,2037,1068,0.6554
25500,7007,3890,2044,1073,0.6555
25600,7020,3900,2047,1073,0.6558
25700,7031,3903,2049,1079,0.6557
25800,7053,3918,2053,1082,0.6562
25900,7076,3928,2061,1087,0.6559
26000,7093,3938,2067,1088,0.6558
26100,7110,3947,2071,1092,0.6559
26200,7120,3951,2076,1093,0.6556
26300,7137,3962,2082,1093,0.6555
26400,7151,3970,2083,1098,0.6559
26500,7169,3978,2090,1101,0.6556
26600,7179,3985,2092,1102,0.6558
26700,7196,3995,2094,1107,0.6561
26800,7218,4006,2101,1111,0.6560
26900,7246,4020,2109,1117,0.6559
27000,7266,4029,2116,1121,0.6557
27100,7283,4041,2120,1122,0.6559
27200,7309,4054,2128,1127,0.6558
27300,7327,4066,2131,1130,0.6561
27400,7351,4078,2140,1133,0.6558
27500,7374,4085,2148,1141,0.6554
27600,7394,4097,2151,1146,0.6557
27700,7414,4108,2157,1149,0.6557
27800,7433,4120,2159,1154,0.6562
27900,7450,4127,2164,1159,0.6560
28000,7471,4138,2166,1167,0.6564
28100,7487,4147,2170,1170,0.6565
28200,7520,4162,2176,1182,0.6567
28300,7548,4175,2184,1189,0.6565
28400,7573,4186,2191,1196,0.6564
28500,7599,4198,2197,1204,0.6565
28600,7621,4209,2201,1211,0.6566
28700,7646,4218,2208,1220,0.6564
28800,7679,4235,2220,1224,0.6561
28900,7703,4247,2228,1228,0.6559
29000,7729,4261,2236,1232,0.6558
29100,7735,4265,2238,1232,0.6559
29200,7749,4271,2244,1234,0.6556
29300,7777,4290,2249,1238,0.6561
29400,7806,4313,2255,1238,0.6567
29500,7838,4332,2263,1243,0.6569
29600,7867,4346,2271,1250,0.6568
29700,7901,4363,2280,1258,0.6568
29800,7921,4370,2289,1262,0.6563
29900,7947,4383,2296,1268,0.6562
30000,7966,4396,2302,1268,0.6563
30100,7992,4413,2310,1269,0.6564
30200,8014,4426,2314,1274,0.6567
30300,8035,4440,2319,1276,0.6569
30400,8060,4455,2324,1281,0.6572
30500,8085,4469,2333,1283,0.6570
30600,8113,4488,2336,1289,0.6577
30700,8148,4508,2344,1296,0.6579
30800,8179,4532,2346,1301,0.6589
30900,8205,4551,2352,1302,0.6593
31000,8255,4585,2361,1309,0.6601
31100,8280,4599,2371,1310,0.6598
31200,8294,4609,2374,1311,0.6600
31300,8314,4620,2380,1314,0.6600
31400,8334,4633,2385,1316,0.6602
31500,8355,4644,2392,1319,0.6600
31600,8369,4651,2397,1321,0.6599
31700,8389,4662,2404,1323,0.6598
31800,8409,4673,2411,1325,0.6597
31900,8430,4688,2415,1327,0.6600
32000,8443,4694,2420,1329,0.6598
32100,8466,4708,2425,1333,0.6600
32200,8490,4724,2428,1338,0.6605
32300,8512,4741,2432,1339,0.6610
32400,8529,4751,2434,1344,0.6612
32500,8552,4765,2438,1349,0.6615
32600,8586,4786,2444,1356,0.6620
32700,8612,4804,2450,1358,0.6623
32800,8644,4824,2454,1366,0.6628
32900,8664,4836,2458,1370,0.6630
33000,8685,4848,2464,1373,0.6630
33100,8711,4863,2472,1376,0.6630
33200,8733,4872,2476,1385,0.6630
33300,8761,4887,2484,1390,0.6630
33400,8790,4901,2494,1395,0.6627
33500,8814,4912,2502,1400,0.6625
33600,8837,4928,2504,1405,0.6631
33700,8876,4950,2512,1414,0.6634
33800,8908,4972,2517,1419,0.6639
33900,8949,4993,2530,1426,0.6637
34000,8969,5004,2537,1428,0.6636
34100,8994,5019,2544,1431,0.6636
34200,9029,5045,2549,1435,0.6643
34300,9049,5057,2552,1440,0.6646
34400,9065,5065,2557,1443,0.6645
34500,9104,5084,2571,1449,0.6641
34600,9140,5109,2578,1453,0.6646
34700,9176,5131,2586,1459,0.6649
34800,9210,5151,2597,1462,0.6648
34900,9239,5168,2605,1466,0.6649
35000,9277,5191,2612,1474,0.6653
35100,9297,5198,2620,1479,0.6649
35200,9331,5218,2629,1484,0.6650
35300,9352,5233,2633,1486,0.6653
35400,9381,5246,2647,1488,0.6646
